1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
1.5            2.5            3.5
3.75           5              8
1.25           2.4            4.2
0.25           0.45           0.8
15             28.8           42.88
1.89           2.99           4
105            520            990
3.3            6.25           7
1.2            2              3.75
5.5            10.2           18.59
